,BI_LSTM,GRU,RNN,LSTM,STACKING,ADABOOST,BAGGING,XGBOOST
HDFC,40.34334764,70.81545064,66.52360515,62.66094421,71.24463519,69.527897,70.38626609,99.57081545
AXISBANK,60.08583691,49.78540773,50.64377682,28.75536481,58.36909871,57.93991416,50.64377682,99.57081545
ADANIPORTS,40.37267081,47.82608696,24.8447205,40.99378882,49.68944099,45.96273292,40.99378882,96.27329193
LT,57.87037037,45.83333333,14.35185185,56.94444444,61.11111111,52.31481481,56.01851852,99.53703704
CIPLA,59.22746781,60.51502146,26.60944206,53.64806867,60.08583691,57.51072961,54.50643777,99.1416309
APOLLO,44.44444444,10.64814815,6.944444444,9.722222222,56.48148148,51.85185185,14.81481481,99.53703704
TATAMOTORS,50.64377682,49.78540773,31.3304721,38.19742489,48.92703863,46.35193133,45.06437768,96.13733906
BAJAJAUTO,4.166666667,10.18518519,34.25925926,17.12962963,60.18518519,48.14814815,24.53703704,96.2962963
WIPRO,46.35193133,46.78111588,44.63519313,53.64806867,60.94420601,60.51502146,57.93991416,97.85407725
HCLTECH,60.74766355,57.47663551,39.25233645,52.3364486,62.61682243,50,53.27102804,99.06542056
AVERAGE,46.42541764,44.96517926,33.93951018,41.4036405,58.96548567,54.01230413,46.81759598,98.2983761